,id,lon,lat,ID_TRCs,nodes,bearings,incident_segs,bearings_r,cc_ordered_segs,geometry
0,158,-73.85658305930406,45.43871762947274,"1623644,1618052,1618050,1618036",816,"155.4,335.8,79.9,259.9","179,291,293,346","155.4,335.8,79.9,259.9","   incid_seg_id_  bearing  bearing_r dual     name
0            179    155.4      155.4  NOT  Bermuda
1            291    335.8      335.8  NOT  Bermuda
2            293     79.9       79.9  NOT  Lincoln
3            346    259.9      259.9  NOT  Lincoln",POINT (-73.85658305930406 45.43871762947274)
0,159,-73.85846926480299,45.437678324017945,"1623643,1618054,1618024,1618023",820,"80.5,157.3,260.5,337.1","180,289,309,310","80.5,157.3,260.5,337.1","   incid_seg_id_  bearing  bearing_r dual        name
0            180     80.5       80.5  NOT  Sherbrooke
1            289    157.3      157.3  NOT  Allancroft
2            309    260.5      260.5  NOT  Sherbrooke
3            310    337.1      337.1  NOT  Allancroft",POINT (-73.85846926480299 45.437678324017945)
0,160,-73.86275829320824,45.45026393637872,"1623665,1623664,1617832",833,"127.5,63.6,241.4","182,183,263","127.5,63.6,241.4","   incid_seg_id_  bearing  bearing_r dual             name
0            182    127.5      127.5  NOT    Mountain View
1            183     63.6       63.6  NOT  Transcanadienne
2            263    241.4      241.4  NOT  Transcanadienne",POINT (-73.86275829320824 45.45026393637872)
0,161,-73.86141772007407,45.45092955069614,"1623664,1617520,1617517",834,"243.6,71.7,62.3","183,420,423","243.6,71.7,62.3","   incid_seg_id_  bearing  bearing_r dual             name
0            183    243.6      243.6  NOT  Transcanadienne
1            420     71.7       71.7  NOT       Non-nommée
2            423     62.3       62.3  NOT  Transcanadienne",POINT (-73.86141772007407 45.45092955069614)
0,162,-73.86692769876997,45.45150918291195,"1623662,1617810,1617809,1617808",860,"100.8,28.7,278.6,208.5","184,280,281,282","100.8,28.7,278.6,208.5","   incid_seg_id_  bearing  bearing_r dual      name
0            184    100.8      100.8  NOT  Dufferin
1            280     28.7       28.7  NOT  Daudelin
2            281    278.6      278.6  NOT  Stoneman
3            282    208.5      208.5  NOT  Daudelin",POINT (-73.86692769876997 45.45150918291195)
0,163,-73.8573912477352,45.43523773314827,"4000662,1618076,1618075",861,"335.1,158.3,78.5","185,377,378","335.1,158.3,78.5","   incid_seg_id_  bearing  bearing_r dual        name
0            185    335.1      335.1  NOT  Allancroft
1            377    158.3      158.3  NOT  Allancroft
2            378     78.5       78.5  NOT   Evergreen",POINT (-73.8573912477352 45.43523773314827)
0,164,-73.85780676430885,45.43617858032619,"4000662,4000322,4000321",865,"154.7,260.4,338.3","185,186,187","154.7,260.4,338.3","   incid_seg_id_  bearing  bearing_r dual          name
0            185    154.7      154.7  NOT    Allancroft
1            186    260.4      260.4  NOT  Jacques-Prou
2            187    338.3      338.3  NOT    Allancroft",POINT (-73.85780676430885 45.43617858032619)
0,165,-73.85798004798119,45.43657311135087,"4000321,1618057,1618073",876,"154.7,256.6,335.2","187,286,379","154.7,256.6,335.2","   incid_seg_id_  bearing  bearing_r dual        name
0            187    154.7      154.7  NOT  Allancroft
1            286    256.6      256.6  NOT      Spruce
2            379    335.2      335.2  NOT  Allancroft",POINT (-73.85798004798119 45.43657311135087)
0,166,-73.86757307907273,45.44115123824497,"4000494,1617947,1617943,1617975",893,"318.5,78.0,258.4,138.0","189,304,306,387","318.5,78.0,258.4,138.0","   incid_seg_id_  bearing  bearing_r dual       name
0            189    318.5      318.5  NOT  Westcroft
1            304     78.0       78.0  NOT      Royal
2            306    258.4      258.4  NOT      Royal
3            387    138.0      138.0  NOT  Westcroft",POINT (-73.86757307907273 45.44115123824497)
0,167,-73.859429855402,45.435309091336116,"1618146,1618096,1618027",898,"257.3,156.8,336.8","190,238,297","257.3,156.8,336.8","   incid_seg_id_  bearing  bearing_r dual      name
0            190    257.3      257.3  NOT  Woodside
1            238    156.8      156.8  NOT  Woodside
2            297    336.8      336.8  NOT  Woodside",POINT (-73.859429855402 45.435309091336116)
0,168,-73.86008474766909,45.43670148691113,"1618146,1618027,1618026",915,"257.1,162.1,342.9","190,297,298","257.1,162.1,342.9","   incid_seg_id_  bearing  bearing_r dual      name
0            190    257.1      257.1  NOT  Woodside
1            297    162.1      162.1  NOT  Woodside
2            298    342.9      342.9  NOT  Woodside",POINT (-73.86008474766909 45.43670148691113)
0,169,-73.85393168194885,45.44068720529941,"1617891,1617888,1618041",916,"258.1,339.4,160.1","191,194,341","258.1,339.4,160.1","   incid_seg_id_  bearing  bearing_r dual    name
0            191    258.1      258.1  NOT   Rowan
1            194    339.4      339.4  NOT  Castle
2            341    160.1      160.1  NOT  Castle",POINT (-73.85393168194885 45.44068720529941)
0,170,-73.85493056125712,45.4404853990885,"1617891,1617890,1618039",921,"79.3,338.9,259.2","191,192,343","79.3,338.9,259.2","   incid_seg_id_  bearing  bearing_r dual    name
0            191     79.3       79.3  NOT   Rowan
1            192    338.9      338.9  NOT  Nassau
2            343    259.2      259.2  NOT   Rowan",POINT (-73.85493056125712 45.4404853990885)
0,171,-73.85521832248081,45.44117961821348,"1617890,1617889,1617913",925,"157.5,337.9,261.0","192,193,242","157.5,337.9,261.0","   incid_seg_id_  bearing  bearing_r dual      name
0            192    157.5      157.5  NOT    Nassau
1            193    337.9      337.9  NOT    Nassau
2            242    261.0      261.0  NOT  Flamingo",POINT (-73.85521832248081 45.44117961821348)
0,172,-73.8555141501341,45.44188119093057,"1617889,1617885,1617911",928,"158.1,337.0,261.3","193,197,244","158.1,337.0,261.3","   incid_seg_id_  bearing  bearing_r dual         name
0            193    158.1      158.1  NOT       Nassau
1            197    337.0      337.0  NOT       Nassau
2            244    261.3      261.3  NOT  Nightingale",POINT (-73.8555141501341 45.44188119093057)
0,173,-73.85455467274933,45.442165764350996,"1617888,1617886,1618058",932,"156.9,336.7,77.8","194,196,373","156.9,336.7,77.8","   incid_seg_id_  bearing  bearing_r dual      name
0            194    156.9      156.9  NOT    Castle
1            196    336.7      336.7  NOT    Castle
2            373     77.8       77.8  NOT  Biscayne",POINT (-73.85455467274933 45.442165764350996)
0,174,-73.85397133160807,45.44306562339161,"1617887,1617907,1617906",933,"257.2,54.6,83.8","195,248,249","257.2,54.6,83.8","   incid_seg_id_  bearing  bearing_r dual       name
0            195    257.2      257.2  NOT  Thackeray
1            248     54.6       54.6  NOT  Thackeray
2            249     83.8       83.8  NOT  Thackeray",POINT (-73.85397133160807 45.44306562339161)
0,175,-73.85485519357147,45.44287641347622,"1617887,1617886,1617884",939,"78.6,158.9,339.5","195,196,198","78.6,158.9,339.5","   incid_seg_id_  bearing  bearing_r dual       name
0            195     78.6       78.6  NOT  Thackeray
1            196    158.9      158.9  NOT     Castle
2            198    339.5      339.5  NOT     Castle",POINT (-73.85485519357147 45.44287641347622)
0,176,-73.85597809730682,45.44295877374493,"1617885,1617910,1617909",947,"156.6,75.6,255.7","197,245,246","156.6,75.6,255.7","   incid_seg_id_  bearing  bearing_r dual     name
0            197    156.6      156.6  NOT   Nassau
1            245     75.6       75.6  NOT  Taywood
2            246    255.7      255.7  NOT  Taywood",POINT (-73.85597809730682 45.44295877374493)
0,177,-73.8549834002669,45.44317812485104,"1617884,1617883,1617910",950,"158.1,338.0,258.8","198,199,245","158.1,338.0,258.8","   incid_seg_id_  bearing  bearing_r dual     name
0            198    158.1      158.1  NOT   Castle
1            199    338.0      338.0  NOT   Castle
2            245    258.8      258.8  NOT  Taywood",POINT (-73.8549834002669 45.44317812485104)
0,178,-73.85515583702583,45.44358859123888,"1617883,1617903,1617882",954,"158.6,76.8,338.4","199,264,276","158.6,76.8,338.4","   incid_seg_id_  bearing  bearing_r dual     name
0            199    158.6      158.6  NOT   Castle
1            264     76.8       76.8  NOT  Taywood
2            276    338.4      338.4  NOT   Castle",POINT (-73.85515583702583 45.44358859123888)
0,179,-73.85888914868599,45.44437444874323,"1617877,1617866,1617894",955,"82.6,262.3,163.9","200,227,272","82.6,262.3,163.9","   incid_seg_id_  bearing  bearing_r dual        name
0            200     82.6       82.6  NOT      Harold
1            227    262.3      262.3  NOT      Harold
2            272    163.9      163.9  NOT  Summerhill",POINT (-73.85888914868599 45.44437444874323)
0,180,-73.85864703511535,45.44352233652781,"1617877,1617895,1617894",999,"77.8,163.9,344.1","200,271,272","77.8,163.9,344.1","   incid_seg_id_  bearing  bearing_r dual        name
0            200     77.8       77.8  NOT      Harold
1            271    163.9      163.9  NOT  Summerhill
2            272    344.1      344.1  NOT  Summerhill",POINT (-73.85864703511535 45.44352233652781)
0,181,-73.85586118730109,45.445075165753046,"1617876,1617875,1617873",1000,"278.4,7.7,98.7","201,202,204","278.4,7.7,98.7","   incid_seg_id_  bearing  bearing_r dual    name
0            201    278.4      278.4  NOT   Viger
1            202      7.7        7.7  NOT  Michel
2            204     98.7       98.7  NOT   Viger",POINT (-73.85586118730109 45.445075165753046)
0,182,-73.8574656132569,45.4467313537498,"1617876,1617875,1617874",1032,"249.5,136.0,68.9","201,202,203","249.5,136.0,68.9","   incid_seg_id_  bearing  bearing_r dual    name
0            201    249.5      249.5  NOT   Viger
1            202    136.0      136.0  NOT  Michel
2            203     68.9       68.9  NOT   Viger",POINT (-73.8574656132569 45.4467313537498)
0,183,-73.85680615579709,45.4474498570506,"1617874,1617868,1617867",1070,"209.0,104.4,284.4","203,208,226","209.0,104.4,284.4","   incid_seg_id_  bearing  bearing_r dual    name
0            203    209.0      209.0  NOT   Viger
1            208    104.4      104.4  NOT  Beacon
2            226    284.4      284.4  NOT  Beacon",POINT (-73.85680615579709 45.4474498570506)
0,184,-73.85481967848378,45.44501532001729,"1617873,1617871,1617869",1071,"272.9,180.8,0.1","204,206,220","272.9,180.8,0.1","   incid_seg_id_  bearing  bearing_r dual      name
0            204    272.9      272.9  NOT     Viger
1            206    180.8      180.8  NOT  Kirkland
2            220      0.1        0.1  NOT  Kirkland",POINT (-73.85481967848378 45.44501532001729)
0,185,-73.85843320033635,45.442772368087965,"1617872,1617896,1617895",1085,"78.2,258.3,343.7","205,270,271","78.2,258.3,343.7","   incid_seg_id_  bearing  bearing_r dual        name
0            205     78.2       78.2  NOT    Kirkland
1            270    258.3      258.3  NOT    Kirkland
2            271    343.7      343.7  NOT  Summerhill",POINT (-73.85843320033635 45.442772368087965)
0,186,-73.86505073781416,45.43661786847052,"1618153,1618000,1617997,1618029",1109,"152.5,333.7,262.9,82.8","207,348,351,364","152.5,333.7,262.9,82.8","   incid_seg_id_  bearing  bearing_r dual        name
0            207    152.5      152.5  NOT   Westcroft
1            348    333.7      333.7  NOT   Westcroft
2            351    262.9      262.9  NOT  Sherbrooke
3            364     82.8       82.8  NOT  Sherbrooke",POINT (-73.86505073781416 45.43661786847052)
0,187,-73.85728186688965,45.43497817240218,"1618090,1618077,1618076",1118,"258.3,155.0,336.0","209,376,377","258.3,155.0,336.0","   incid_seg_id_  bearing  bearing_r dual        name
0            209    258.3      258.3  NOT   Evergreen
1            376    155.0      155.0  NOT  Allancroft
2            377    336.0      336.0  NOT  Allancroft",POINT (-73.85728186688965 45.43497817240218)
0,188,-73.85396665137402,45.43597716895031,"1618089,1618086,1618092",1122,"336.8,257.5,78.0","210,213,240","336.8,257.5,78.0","   incid_seg_id_  bearing  bearing_r dual       name
0            210    336.8      336.8  NOT   Sycamore
1            213    257.5      257.5  NOT  Evergreen
2            240     78.0       78.0  NOT  Evergreen",POINT (-73.85396665137402 45.43597716895031)
